/give lc 23001 r1
/give relic 61021 s1 7:1 8:6 9:1 11:1
/give relic 61022 s1 7:1 8:5 9:2 11:1
/give relic 61023 s5 5:1 7:1 8:6 11:1
/give relic 61024 s4 5:1 8:1 9:6 11:1
/give relic 63095 s10 5:1 8:1 9:6 11:1
/give relic 63096 s4 7:3 8:1 9:4 11:1
/give lc 24002 r1
/give relic 61061 s1 4:1 6:1 7:1 11:6
/give relic 61062 s1 1:1 4:1 7:1 11:6
/give relic 61063 s1 1:1 6:1 7:6 11:1
/give relic 61064 s4 1:1 4:6 6:1 11:1
/give relic 63105 s1 1:1 6:1 7:1 11:6
/give relic 63106 s2 1:1 4:6 7:1 11:1
/give lc 20012 r5
/give relic 61141 s1 3:1 6:1 7:5 11:1
/give relic 61142 s1 3:1 6:1 7:5 11:1
/give relic 61143 s1 3:1 6:1 7:5 11:1
/give relic 61144 s4 1:1 4:6 6:1 11:1
/give relic 63025 s1 3:1 6:1 7:5 11:1
/give relic 63026 s2 3:1 6:1 7:5 11:1
/give lc 23003 r1
/give relic 61021 s1 6:1 7:5 9:1 11:1
/give relic 61022 s1 6:1 7:5 9:1 11:1
/give relic 61023 s5 3:1 6:1 7:5 11:1
/give relic 61024 s4 3:1 6:1 9:1 11:6
/give relic 63105 s1 3:1 6:1 7:1 11:6
/give relic 63106 s2 4:1 6:1 7:5 11:1
